video_id,video_title,author,comment_text
LD_Kjh7ZhMU,Are you ready?👀👁️,Kristian Nikolla,Imagine if guys did this 💀
LD_Kjh7ZhMU,Are you ready?👀👁️,Jason,Again please lol
LD_Kjh7ZhMU,Are you ready?👀👁️,Alejandro Navarro Sánchez,"Esto demuestra que aunque criticamos estas conductas, igualmente nos sentimos atraídos sexualmente<br><br><br><br><br><br><br>Ta riko  pero mejor está las encuadradas de mamitas Puebla xd<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Edith, Never Gonna vive you up"
LD_Kjh7ZhMU,Are you ready?👀👁️,Rafal's video's,👌👍😋🤷‍♀️
LD_Kjh7ZhMU,Are you ready?👀👁️,Rafeeq Uddin,Yes iam ready for you
LD_Kjh7ZhMU,Are you ready?👀👁️,Повествователь в Garry'S Mod,Love ❤
LD_Kjh7ZhMU,Are you ready?👀👁️,Владимир Овсянников,Плюнуть ещё сверху для полноты картины))))
LD_Kjh7ZhMU,Are you ready?👀👁️,Thomas Duran,Men of culture we meet again
LD_Kjh7ZhMU,Are you ready?👀👁️,OfficalOnzieBoi,Just Play Apex Amigos
LD_Kjh7ZhMU,Are you ready?👀👁️,Alive Toadstool12,I thought we was gonna play smash bros
LD_Kjh7ZhMU,Are you ready?👀👁️,Danish Anuar,Slurrppp🤒
LD_Kjh7ZhMU,Are you ready?👀👁️,Alexander Vodka,Skill good ❤️
LD_Kjh7ZhMU,Are you ready?👀👁️,Amit Sonawane,Wow look carefully its moving &amp; vibrating
LD_Kjh7ZhMU,Are you ready?👀👁️,Kendoe k,Just know I&#39;m going hard bing bong
LD_Kjh7ZhMU,Are you ready?👀👁️,Irfan Xana,No Jetstream sam at the end 0/10
LD_Kjh7ZhMU,Are you ready?👀👁️,Body and gym,Yessss!!!
LD_Kjh7ZhMU,Are you ready?👀👁️,Peter Claymore,Formula for easy views <br><br>1. Be attractive/narcissistic<br>2. Have a camera (basically your phone) <br>3. WAIT
LD_Kjh7ZhMU,Are you ready?👀👁️,Mustaq Sk,Legend&#39;s r still waiting
LD_Kjh7ZhMU,Are you ready?👀👁️,phantasmagoria,wonder where she got that dress from . my gf looking for sum like that
LD_Kjh7ZhMU,Are you ready?👀👁️,THEStxrmZ,Ofc
LD_Kjh7ZhMU,Are you ready?👀👁️,Rich44,Well that’s 10 seconds of my life I’ll never have back..
LD_Kjh7ZhMU,Are you ready?👀👁️,Call of Duty pro2,♥♥♥♥💯
LD_Kjh7ZhMU,Are you ready?👀👁️,Levi Ackerman,Whats the song
LD_Kjh7ZhMU,Are you ready?👀👁️,مهدی بوستانی,Ready 😂🤤
LD_Kjh7ZhMU,Are you ready?👀👁️,immk2k6.mp4,"NO,HONEY NOT TODAY !"
