video_id,video_title,author,comment_text,urls
LD_Kjh7ZhMU,Are you ready?👀👁️,Avaclairexx,"SON UNOS DE LOS <a href=""http://teenxxx.uno/"">TEENxXx.UnO</a><br><br>Sun: &quot;Hotter&quot;<br>Sugar: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Son unos de los mejores conciertos<a href=""http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE"">#垃圾</a>","['http://teenxxx.uno/', 'http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE']"
LD_Kjh7ZhMU,Are you ready?👀👁️,Irina Zoe,"<b>SON UNOS DE LOS </b><b><a href=""http://babes.maximaus.uno/"">BABES.MAXIMAUS.unO</a></b><br><br>Sun: &quot;Hotter&quot; <br>Sugar: &quot;Sweeter&quot; <br>Joonie: &quot;Cooler&quot; <br> Yoongi : &quot;Butter&quot;&quot; <br>, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente...<br>Ojalá la cultura africana se representara tan bellamente más a menudo.<br>No podía dejar de decir &quot;oh, esto es hermoso&quot; durante todo el video. La luz, en serio... quienquiera que estuviera a cargo de la iluminación, grandes<br>pantalla, se que estuvo sorprendente,Además, la canción es un jodido bop.<br>La voz de Dojas es tan versátil, me encanta. Por no hablar de la instrumental con el afrobeat. Simplemente una maldita obra maestra.....<br>editar: No quise abrir las puertas del infierno con mi comentario. Puede estar en desacuerdo, pero siga siendo respetuoso. Las opiniones no son hechos.",['http://babes.maximaus.uno/']
LD_Kjh7ZhMU,Are you ready?👀👁️,Anri Okita,"----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 👉 <b><i><a href=""http://kuyya.site/"">KUYYA.SITE</a></i></b> 💜 PRIVATE S*X <br>I NEED A BIGS YOUR PENILLE 💜 <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><a href=""http://www.youtube.com/results?search_query=%23%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AE%E5%86%8D%E7%B7%A8%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%A7%E3%81%99"">#ライブ配信の再編ありがとうです</a>！<a href=""http://www.youtube.com/results?search_query=%23%E3%81%93%E3%81%AE%E6%97%A5%E3%81%AE%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AF"">#この日のライブ配信は</a>、<a href=""http://www.youtube.com/results?search_query=%23%E3%81%8B%E3%81%AA%E3%82%89%E3%82%8A%E3%82%84%E3%81%B0%E3%81%8B%E3%81%A3%E3%81%9F%E3%81%A7%E3%81%99%E3%81%AD"">#かならりやばかったですね</a>！１<a href=""http://www.youtube.com/results?search_query=%23%E4%B8%87%E4%BA%BA%E3%82%92%E8%B6%85%E3%81%88%E3%82%8B%E4%BA%BA%E3%81%8C%E8%A6%8B%E3%81%A6%E3%81%84%E3%81%9F%E3%82%82%E3%82%93%E3%81%AD"">#万人を超える人が見ていたもんね</a>（笑）<a href=""http://www.youtube.com/results?search_query=%23%E3%82%84%E3%81%A3%E3%81%B1%E3%82%8A%E4%BA%BA%E5%8F%82%E6%9C%80%E9%AB%98"">#やっぱり人参最高</a>！<a href=""http://www.youtube.com/results?search_query=%23%E3%81%BE%E3%81%95%E3%81%8B%E3%81%AE%E3%82%AB%E3%83%A1%E3%83%A9%E5%88%87%E3%82%8A%E5%BF%98%E3%82%8C%E3%81%A7%E3%82%84%E3%82%891%E3%81%8B%E3%81%97%E3%81%9F%E3%81%AE%E3%82%82%E3%83%89%E3%82%AD%E3%83%89%E3%82%AD%E3%81%A7%E3%81%97%E3%81%9F"">#まさかのカメラ切り忘れでやら1かしたのもドキドキでした</a>！<a href=""http://www.youtube.com/results?search_query=%23%E4%BB%8A%E5%BE%8C%E3%81%AF%E6%B0%97%E3%82%92%E4%BB%98%E3%81%91%E3%81%AA%E3%81%84%E3%81%A8%E3%81%AD5"">#今後は気を付けないとね5</a>). . <br><br>!💖🖤❤<a href=""http://www.youtube.com/results?search_query=%23%E4%BB%8A%E5%BE%8C%E3%81%AF%E6%B0%97%E3%82%92%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AE%E5%86%8D%E7%B7%A8%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%A7%E3%81%99"">#今後は気をライブ配信の再編ありがとうです</a>！<a href=""http://www.youtube.com/results?search_query=%23%E3%81%93%E3%81%AE%E6%97%A5%E3%81%AE%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AF"">#この日のライブ配信は</a>、<a href=""http://www.youtube.com/results?search_query=%231%E4%B8%87%E4%BA%BA%E3%82%92%E8%B6%85%E3%81%88%E3%82%8B%E4%BA%BA%E3%81%8C%E8%A6%8B%E3%81%A6%E3%81%84%E3%81%9F%E3%82%82"">#１万人を超える人が見ていたも</a> ん（<a href=""http://www.youtube.com/results?search_query=%23%E7%AC%91"">#笑</a>）<a href=""http://www.youtube.com/results?search_query=%23%E3%82%84%E3%81%A3%E3%81%B1%E3%82%8A%E4%BA%BA%E5%8F%82%E6%9C%80%E9%AB%98"">#やっぱり人参最高</a>！<a href=""http://www.youtube.com/results?search_query=%23%E3%81%BE%E3%81%95%E3%81%8B%E3%81%AE%E3%82%AB%E3%83%A1%E3%83%A9%E5%88%87%E3%82%8A%E5%BF%98%E3%82%8C%E3%81%A7%E3%82%84%E3%82%891%E3%81%8B%E3%81%97%E3%81%9F%E3%81%AE%E3%82%82%E3%83%89%E3%82%AD%E3%83%89%E3%82%AD%E3%81%A7%E3%81%97%E3%81%9F"">#まさかのカメラ切り忘れでやら1かしたのもドキドキでした</a> <a href=""http://www.youtube.com/results?search_query=%23%E4%BB%8A%E5%BE%8C%E3%81%AF%E6%B0%97%E3%82%92%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AE%E5%86%8D%E7%B7%A8%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%A7%E3%81%99"">#今後は気をライブ配信の再編ありがとうです</a>！（ <a href=""http://www.youtube.com/results?search_query=%23%E7%AC%91"">#笑</a>）<a href=""http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE"">#垃圾</a>","['http://kuyya.site/', 'http://www.youtube.com/results?search_query=%23%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AE%E5%86%8D%E7%B7%A8%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%A7%E3%81%99', 'http://www.youtube.com/results?search_query=%23%E3%81%93%E3%81%AE%E6%97%A5%E3%81%AE%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AF', 'http://www.youtube.com/results?search_query=%23%E3%81%8B%E3%81%AA%E3%82%89%E3%82%8A%E3%82%84%E3%81%B0%E3%81%8B%E3%81%A3%E3%81%9F%E3%81%A7%E3%81%99%E3%81%AD', 'http://www.youtube.com/results?search_query=%23%E4%B8%87%E4%BA%BA%E3%82%92%E8%B6%85%E3%81%88%E3%82%8B%E4%BA%BA%E3%81%8C%E8%A6%8B%E3%81%A6%E3%81%84%E3%81%9F%E3%82%82%E3%82%93%E3%81%AD', 'http://www.youtube.com/results?search_query=%23%E3%82%84%E3%81%A3%E3%81%B1%E3%82%8A%E4%BA%BA%E5%8F%82%E6%9C%80%E9%AB%98', 'http://www.youtube.com/results?search_query=%23%E3%81%BE%E3%81%95%E3%81%8B%E3%81%AE%E3%82%AB%E3%83%A1%E3%83%A9%E5%88%87%E3%82%8A%E5%BF%98%E3%82%8C%E3%81%A7%E3%82%84%E3%82%891%E3%81%8B%E3%81%97%E3%81%9F%E3%81%AE%E3%82%82%E3%83%89%E3%82%AD%E3%83%89%E3%82%AD%E3%81%A7%E3%81%97%E3%81%9F', 'http://www.youtube.com/results?search_query=%23%E4%BB%8A%E5%BE%8C%E3%81%AF%E6%B0%97%E3%82%92%E4%BB%98%E3%81%91%E3%81%AA%E3%81%84%E3%81%A8%E3%81%AD5', 'http://www.youtube.com/results?search_query=%23%E4%BB%8A%E5%BE%8C%E3%81%AF%E6%B0%97%E3%82%92%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AE%E5%86%8D%E7%B7%A8%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%A7%E3%81%99', 'http://www.youtube.com/results?search_query=%23%E3%81%93%E3%81%AE%E6%97%A5%E3%81%AE%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AF', 'http://www.youtube.com/results?search_query=%231%E4%B8%87%E4%BA%BA%E3%82%92%E8%B6%85%E3%81%88%E3%82%8B%E4%BA%BA%E3%81%8C%E8%A6%8B%E3%81%A6%E3%81%84%E3%81%9F%E3%82%82', 'http://www.youtube.com/results?search_query=%23%E7%AC%91', 'http://www.youtube.com/results?search_query=%23%E3%82%84%E3%81%A3%E3%81%B1%E3%82%8A%E4%BA%BA%E5%8F%82%E6%9C%80%E9%AB%98', 'http://www.youtube.com/results?search_query=%23%E3%81%BE%E3%81%95%E3%81%8B%E3%81%AE%E3%82%AB%E3%83%A1%E3%83%A9%E5%88%87%E3%82%8A%E5%BF%98%E3%82%8C%E3%81%A7%E3%82%84%E3%82%891%E3%81%8B%E3%81%97%E3%81%9F%E3%81%AE%E3%82%82%E3%83%89%E3%82%AD%E3%83%89%E3%82%AD%E3%81%A7%E3%81%97%E3%81%9F', 'http://www.youtube.com/results?search_query=%23%E4%BB%8A%E5%BE%8C%E3%81%AF%E6%B0%97%E3%82%92%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AE%E5%86%8D%E7%B7%A8%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%A7%E3%81%99', 'http://www.youtube.com/results?search_query=%23%E7%AC%91', 'http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE']"
LD_Kjh7ZhMU,Are you ready?👀👁️,Memes Buduf,"La vi cuando tenía 10 años 40 años años después la sigo <a href=""http://sexedate.uno/"">sexedate.uno</a> creo k sea el único",['http://sexedate.uno/']
LD_Kjh7ZhMU,Are you ready?👀👁️,Terry Lee,"Hermosa elección ❤️ <a href=""http://teasingsex.uno/"">Teasingsex.Uno</a><br>de los mejores  😘<br><br><br><a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s"">23:23</a>  Senada: &quot;Hermoso&quot;<br><a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s"">23:23</a>  Megan: &quot;Hotter&quot;<br><a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s"">23:23</a>  Hopi: &quot;Sweeter&quot;<br><a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s"">23:23</a>  Joonie: &quot;Cooler&quot;<br><a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s"">23:23</a>  Yoongi: &quot;Butter&quot;<br><a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s"">23:23</a>  Amor: &quot;Momentos&quot;<br><br><a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s"">23:23</a> los  mortales abian apreciado tan hermosa mujer  ...<br>Son unos de los mejores conciertos, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente 🖤..","['http://teasingsex.uno/', 'https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s', 'https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s', 'https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s', 'https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s', 'https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s', 'https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s', 'https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=23m23s']"
LD_Kjh7ZhMU,Are you ready?👀👁️,cerly,"<a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s"">01:20</a><br>Asi con toy y sus mañas no se la<br> <a href=""http://aishite.tokyo/collmex"">Aishite.Tokyo/collmex</a><br><br>Megan: &quot;Hotter&quot;<br>Hopi: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Asi con toy y sus mañas no se la lease que escriba bien mamon hay nomas pa ra reirse un rato y no estar triste y estresado.por la vida dura que se vive hoy .<br>Köz karaş: &#39;&#39;Taŋ kaldım&#39;&#39;<br>Erinder: &#39;&#39;Sezimdüü&#39;&#39;<br>Jılmayuu: &#39;&#39;Tattuuraak&#39;&#39;<br>Dene: &#39;&#39;Muzdak&#39;&#39;<br>Jizn, kak krasivaya melodiya, tolko pesni pereputalis.<br>Aç köz arstan<br>Bul ukmuştuuday ısık kün bolçu, jana arstan abdan açka bolgon.<br><br>Uyunan çıgıp, tigi jer-jerdi izdedi. Al kiçinekey koyondu gana taba algan. Al bir az oylonboy koyondu karmadı. &#39;&#39;Bul koyon menin kursagımdı toyguza albayt&#39;&#39; dep oylodu arstan.<br>Arstan koyondu öltüröyün dep jatkanda, bir kiyik tigi tarapka çurkadı. Arstan aç köz bolup kaldı. Kiçine koyondu emes, çoŋ kiyikti jegen jakşı dep oylodu.<a href=""http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE"">#垃圾</a>","['https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s', 'http://aishite.tokyo/collmex', 'http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE']"
LD_Kjh7ZhMU,Are you ready?👀👁️,cerly,"<a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s"">01:20</a><br>Asi con toy y sus mañas no se la<br> <a href=""http://aishite.tokyo/collmex"">Aishite.Tokyo/collmex</a><br><br>Megan: &quot;Hotter&quot;<br>Hopi: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Asi con toy y sus mañas no se la lease que escriba bien mamon hay nomas pa ra reirse un rato y no estar triste y estresado.por la vida dura que se vive hoy .<br>Köz karaş: &#39;&#39;Taŋ kaldım&#39;&#39;<br>Erinder: &#39;&#39;Sezimdüü&#39;&#39;<br>Jılmayuu: &#39;&#39;Tattuuraak&#39;&#39;<br>Dene: &#39;&#39;Muzdak&#39;&#39;<br>Jizn, kak krasivaya melodiya, tolko pesni pereputalis.<br>Aç köz arstan<br>Bul ukmuştuuday ısık kün bolçu, jana arstan abdan açka bolgon.<br><br>Uyunan çıgıp, tigi jer-jerdi izdedi. Al kiçinekey koyondu gana taba algan. Al bir az oylonboy koyondu karmadı. &#39;&#39;Bul koyon menin kursagımdı toyguza albayt&#39;&#39; dep oylodu arstan.<br>Arstan koyondu öltüröyün dep jatkanda, bir kiyik tigi tarapka çurkadı. Arstan aç köz bolup kaldı. Kiçine koyondu emes, çoŋ kiyikti jegen jakşı dep oylodu.<a href=""http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE"">#垃圾</a>","['https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s', 'http://aishite.tokyo/collmex', 'http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE']"
LD_Kjh7ZhMU,Are you ready?👀👁️,citrin,"<a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s"">01:20</a><br>Asi con toy y sus mañas no se la<br> <b><a href=""http://aishite.tokyo/collmex"">Aishite.Tokyo/collmex</a></b><br><br>Megan: &quot;Hotter&quot;<br>Hopi: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Asi con toy y sus mañas no se la lease que escriba bien mamon hay nomas pa ra reirse un rato y no estar triste y estresado.por la vida dura que se vive hoy .<br>Köz karaş: &#39;&#39;Taŋ kaldım&#39;&#39;<br>Erinder: &#39;&#39;Sezimdüü&#39;&#39;<br>Jılmayuu: &#39;&#39;Tattuuraak&#39;&#39;<br>Dene: &#39;&#39;Muzdak&#39;&#39;<br>Jizn, kak krasivaya melodiya, tolko pesni pereputalis.<br>Aç köz arstan<br>Bul ukmuştuuday ısık kün bolçu, jana arstan abdan açka bolgon.<br><br>Uyunan çıgıp, tigi jer-jerdi izdedi. Al kiçinekey koyondu gana taba algan. Al bir az oylonboy koyondu karmadı. &#39;&#39;Bul koyon menin kursagımdı toyguza albayt&#39;&#39; dep oylodu arstan.<br>Arstan koyondu öltüröyün dep jatkanda, bir kiyik tigi tarapka çurkadı. Arstan aç köz bolup kaldı. Kiçine koyondu emes, çoŋ kiyikti jegen jakşı dep oylodu.<a href=""http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE"">#垃圾</a>","['https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s', 'http://aishite.tokyo/collmex', 'http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE']"
LD_Kjh7ZhMU,Are you ready?👀👁️,citrin,"<a href=""https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s"">01:20</a><br>Asi con toy y sus mañas no se la<br> <b><a href=""http://aishite.tokyo/collmex"">Aishite.Tokyo/collmex</a></b><br><br>Megan: &quot;Hotter&quot;<br>Hopi: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Asi con toy y sus mañas no se la lease que escriba bien mamon hay nomas pa ra reirse un rato y no estar triste y estresado.por la vida dura que se vive hoy .<br>Köz karaş: &#39;&#39;Taŋ kaldım&#39;&#39;<br>Erinder: &#39;&#39;Sezimdüü&#39;&#39;<br>Jılmayuu: &#39;&#39;Tattuuraak&#39;&#39;<br>Dene: &#39;&#39;Muzdak&#39;&#39;<br>Jizn, kak krasivaya melodiya, tolko pesni pereputalis.<br>Aç köz arstan<br>Bul ukmuştuuday ısık kün bolçu, jana arstan abdan açka bolgon.<br><br>Uyunan çıgıp, tigi jer-jerdi izdedi. Al kiçinekey koyondu gana taba algan. Al bir az oylonboy koyondu karmadı. &#39;&#39;Bul koyon menin kursagımdı toyguza albayt&#39;&#39; dep oylodu arstan.<br>Arstan koyondu öltüröyün dep jatkanda, bir kiyik tigi tarapka çurkadı. Arstan aç köz bolup kaldı. Kiçine koyondu emes, çoŋ kiyikti jegen jakşı dep oylodu.<a href=""http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE"">#垃圾</a>","['https://www.youtube.com/watch?v=LD_Kjh7ZhMU&amp;t=01m20s', 'http://aishite.tokyo/collmex', 'http://www.youtube.com/results?search_query=%23%E5%9E%83%E5%9C%BE']"
LD_Kjh7ZhMU,Are you ready?👀👁️,Bilqis Anisa,"Son unos de los <b><a href=""http://topchicks.uno/"">Topchicks.Uno</a></b><br><br>mañas no se la<br>Megan: &quot;Hotter&quot;<br>Hopi: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Son unos de los mejores conciertos<br>, no sex puede ir pero pussy  de tan solo verlos desde pantalla, se que estuvo sorprendente.",['http://topchicks.uno/']
